iter	Logloss	Accuracy
88	0.4030888541	0.83
89	0.4022774565	0.83
90	0.4012903443	0.83
91	0.400323236	0.83
92	0.4003194074	0.83
93	0.399559078	0.83
94	0.3991153106	0.83
95	0.3986077941	0.83
96	0.3981492651	0.83
97	0.3977885213	0.83
98	0.3977496363	0.83
99	0.3975300459	0.83
100	0.3968367053	0.83
101	0.3967877288	0.83
102	0.3964375084	0.83
103	0.3962138796	0.83
104	0.3956105503	0.83
105	0.3951941531	0.83
106	0.3942469886	0.83
107	0.3938818778	0.83
108	0.3937805844	0.83
109	0.3932673345	0.83
110	0.3925369907	0.83
111	0.3922760014	0.83
112	0.3922165741	0.83
113	0.3920795969	0.83
114	0.3918500868	0.83
115	0.3914290726	0.83
116	0.3905730878	0.83
117	0.3904420858	0.83
118	0.3904313966	0.83
119	0.3901196964	0.83
120	0.3898761076	0.83
121	0.3898755313	0.83
122	0.3897283232	0.83
123	0.3891620415	0.83
124	0.3891607399	0.83
125	0.3887753111	0.83
126	0.3886412386	0.83
127	0.3886407765	0.83
128	0.3886017327	0.83
129	0.3883591644	0.83
130	0.3878969965	0.83
131	0.3877526994	0.83
132	0.3870070395	0.83
133	0.3869174641	0.83
134	0.3867784783	0.83
135	0.3867386146	0.83
136	0.3865065908	0.83125
137	0.3860021814	0.83125
138	0.385971665	0.83125
139	0.3859707871	0.83125
140	0.3856058437	0.83125
141	0.3856035414	0.83125
142	0.3856025751	0.83125
143	0.3856016553	0.83125
144	0.385139316	0.83125
145	0.385009913	0.83125
146	0.3847430942	0.83125
147	0.3845106883	0.83125
148	0.3836933242	0.83375
149	0.3833808065	0.83375
150	0.3833079557	0.83375
151	0.3832079831	0.83375
152	0.3831766649	0.83375
153	0.3830724947	0.83375
154	0.3829029477	0.835
155	0.3823188916	0.83375
156	0.3820399248	0.8325
157	0.3818891778	0.83375
158	0.3813394157	0.8325
159	0.3808827404	0.83375
160	0.3807538602	0.8325
161	0.3801576509	0.83375
162	0.3793985117	0.83375
163	0.3793783743	0.83375
164	0.379159803	0.83375
165	0.3791592254	0.83375
166	0.3790966345	0.83375
167	0.3789323839	0.83375
168	0.3789074567	0.83375
169	0.3785472759	0.835
170	0.3785116178	0.835
171	0.3783743689	0.8375
172	0.3780143247	0.8375
173	0.3779709091	0.8375
174	0.3777070476	0.8375
175	0.3775224516	0.83875
176	0.3768776242	0.83875
177	0.3766514106	0.83875
178	0.3764380445	0.83875
179	0.3759690658	0.83875
180	0.3757109221	0.83875
181	0.3755198603	0.83875
182	0.3754435711	0.84
183	0.3753773699	0.84
184	0.3753734154	0.84
185	0.3750464523	0.84
186	0.3749890133	0.84
187	0.3747110941	0.84
188	0.3745819122	0.84
189	0.3742967412	0.84
190	0.3742381155	0.84
191	0.3741704104	0.84
192	0.3741690192	0.84
193	0.3741690192	0.84
194	0.3737852705	0.8425
195	0.3737416001	0.8425
196	0.3733797799	0.8425
197	0.3731268722	0.8425
198	0.3726286443	0.8425
199	0.3724517832	0.84375
200	0.3722119164	0.84375
201	0.3717004724	0.845
202	0.3716088008	0.845
203	0.3714396389	0.845
204	0.3713727313	0.845
205	0.3712826386	0.845
206	0.3712282805	0.845
207	0.3710821982	0.845
208	0.3709990408	0.845
209	0.370716867	0.845
210	0.3706216184	0.845
211	0.370446793	0.845
212	0.3701751436	0.845
213	0.3701011166	0.845
214	0.3700276128	0.845
215	0.3699102007	0.845
216	0.3698270136	0.845
217	0.3698136733	0.845
218	0.3696704041	0.845
219	0.3692567666	0.845
220	0.3690906271	0.845
221	0.3689979143	0.845
222	0.3687796295	0.845
223	0.3682247109	0.845
224	0.367855012	0.845
225	0.3677733926	0.845
226	0.3676194221	0.845
227	0.3675584295	0.845
228	0.3670621724	0.845
229	0.367054244	0.845
230	0.3667887269	0.845
231	0.3666415615	0.845
232	0.3665782722	0.845
233	0.3664103995	0.845
234	0.3661044294	0.84625
235	0.3659650894	0.84625
236	0.3659120637	0.84625
237	0.3657249594	0.84625
